,Overall Rank,City,Total Score,Emotional & Physical Well-Being,Income & Employment,Community & Environment
0,1,"Fremont, CA",77.13,1,46,2
1,2,"Columbia, MD",71.64,3,161,5
2,3,"San Francisco, CA",71.15,4,1,44
3,4,"San Jose, CA",71.0,2,6,55
4,5,"Irvine, CA",70.38,5,16,12
5,6,"Madison, WI",68.1,10,11,19
6,7,"Seattle, WA",67.67,6,2,99
7,8,"Overland Park, KS",67.46,12,54,13
8,9,"Huntington Beach, CA",66.43,9,51,43
9,10,"San Diego, CA",65.82,14,18,25
10,11,"Fargo, ND",65.46,22,24,23
11,12,"Minneapolis, MN",65.09,8,20,80
12,13,"Bismarck, ND",64.65,48,32,4
13,14,"Santa Rosa, CA",64.52,13,22,105
14,15,"Santa Clarita, CA",64.44,15,100,29
15,16,"Oakland, CA",64.35,7,105,87
16,17,"Sioux Falls, SD",64.34,20,74,27
17,18,"Glendale, CA",64.05,31,91,11
18,19,"Scottsdale, AZ",63.78,50,43,6
19,20,"Anaheim, CA",63.72,25,75,33
20,21,"Aurora, IL",63.6,21,144,8
21,22,"Plano, TX",63.33,37,48,24
22,23,"Oxnard, CA",63.29,26,132,10
23,24,"Garden Grove, CA",63.15,24,80,52
24,25,"Chula Vista, CA",63.01,17,113,30
25,26,"Charleston, SC",62.76,53,3,31
26,27,"Raleigh, NC",62.35,23,71,63
27,28,"Honolulu, HI",62.24,44,72,21
28,29,"Cedar Rapids, IA",62.22,38,83,40
29,30,"Austin, TX",62.04,35,5,109
30,31,"Portland, ME",61.96,28,10,150
31,32,"Pearl City, HI",61.78,36,148,22
32,33,"Oceanside, CA",61.72,30,110,53
33,34,"Gilbert, AZ",61.72,55,34,17
34,35,"Lincoln, NE",61.1,27,67,104
35,36,"Boston, MA",61.07,43,15,89
36,37,"South Burlington, VT",60.65,11,56,181
37,38,"Santa Ana, CA",60.62,45,31,86
38,39,"Pembroke Pines, FL",60.59,51,125,15
39,40,"Burlington, VT",60.32,34,9,170
40,41,"Portland, OR",60.31,49,21,88
41,42,"Aurora, CO",60.15,19,154,69
42,43,"Jersey City, NJ",59.74,40,170,20
43,44,"Yonkers, NY",59.69,18,163,102
44,45,"Chandler, AZ",59.62,58,60,38
45,46,"St. Paul, MN",59.54,33,96,121
46,47,"Omaha, NE",59.48,52,79,56
47,48,"Juneau, AK",59.27,32,14,179
48,49,"Sacramento, CA",59.27,64,30,49
49,50,"Cheyenne, WY",59.05,101,47,3
50,51,"Virginia Beach, VA",58.9,62,120,18
51,52,"Peoria, AZ",58.84,72,58,16
52,53,"Tempe, AZ",58.79,71,17,50
53,54,"Los Angeles, CA",58.7,39,85,128
54,55,"Salt Lake City, UT",58.58,57,33,116
55,56,"Chicago, IL",58.43,47,166,46
56,57,"Denver, CO",58.41,16,134,153
57,58,"New York, NY",58.35,46,164,51
58,59,"Anchorage, AK",58.18,60,102,54
59,60,"Long Beach, CA",58.13,41,142,101
60,61,"Nashua, NH",58.11,68,104,35
61,62,"Boise, ID",58.09,59,13,119
62,63,"Cape Coral, FL",58.05,89,45,9
63,64,"Colorado Springs, CO",57.74,63,97,59
64,65,"Pittsburgh, PA",57.72,80,29,41
65,66,"Fort Lauderdale, FL",57.65,67,84,62
66,67,"Charlotte, NC",57.61,61,78,68
67,68,"Bridgeport, CT",57.34,42,165,91
68,69,"Chesapeake, VA",57.32,81,145,7
69,70,"Warwick, RI",57.19,69,62,90
70,71,"Rancho Cucamonga, CA",57.13,83,36,48
71,72,"Rapid City, SD",57.12,76,27,76
72,73,"Missoula, MT",57.12,88,40,28
