,City,State,Max_temp,Humidity,Cloudiness,Windspeed,Date,Time
0,Fremont, CA,16.65,59,0,2.57,2022-03-12,16:45:33
1,Columbia, MD,10.0,79,100,12.86,2022-03-12,16:45:13
2,San Francisco, CA,13.95,80,20,7.72,2022-03-12,16:47:54
3,San Jose, CA,16.59,43,0,2.57,2022-03-12,16:47:57
4,Irvine, CA,21.77,29,0,1.54,2022-03-12,16:45:22
5,Madison, WI,-1.2,54,40,11.83,2022-03-12,16:45:56
6,Seattle, WA,8.7,70,0,4.12,2022-03-12,16:44:01
7,Overland Park, KS,-4.38,42,0,0.89,2022-03-12,16:43:12
8,Huntington Beach, CA,21.53,35,0,1.54,2022-03-12,16:45:25
9,San Diego, CA,21.79,35,20,3.09,2022-03-12,16:45:21
10,Fargo, ND,-11.68,63,0,8.23,2022-03-12,16:47:42
11,Minneapolis, MN,-11.1,51,0,1.79,2022-03-12,16:46:52
12,Bismarck, ND,-3.52,53,40,6.17,2022-03-12,16:47:07
13,Santa Rosa, CA,27.99,89,84,3.5,2022-03-12,16:47:58
14,Santa Clarita, CA,20.44,16,0,2.57,2022-03-12,16:47:58
15,Oakland, CA,-6.1,60,75,8.05,2022-03-12,16:41:48
16,Sioux Falls, SD,-5.51,44,20,5.66,2022-03-12,16:47:57
17,Glendale, CA,19.57,20,0,5.14,2022-03-12,16:47:59
18,Scottsdale, AZ,19.53,21,0,5.66,2022-03-12,16:45:22
19,Anaheim, CA,22.14,28,0,1.54,2022-03-12,16:45:40
20,Aurora, IL,10.33,33,20,5.14,2022-03-12,16:44:23
21,Plano, TX,9.43,33,0,2.68,2022-03-12,16:48:00
22,Oxnard, CA,22.73,18,0,3.6,2022-03-12,16:43:39
23,Garden Grove, CA,22.03,29,0,0.0,2022-03-12,16:48:00
24,Chula Vista, CA,21.0,36,0,3.09,2022-03-12,16:43:31
25,Charleston, SC,21.1,52,20,12.86,2022-03-12,16:45:58
26,Raleigh, NC,8.1,83,100,3.6,2022-03-12,16:48:01
27,Honolulu, HI,23.65,76,20,4.12,2022-03-12,16:45:17
28,Cedar Rapids, IA,-8.44,56,0,6.17,2022-03-12,16:47:23
29,Austin, TX,10.57,32,0,1.54,2022-03-12,16:47:03
30,Portland, ME,10.72,70,20,2.06,2022-03-12,16:45:15
31,Pearl City, HI,23.64,74,20,4.12,2022-03-12,16:48:01
32,Oceanside, CA,22.37,34,0,0.45,2022-03-12,16:43:42
33,Gilbert, AZ,19.4,22,0,5.66,2022-03-12,16:47:41
34,Lincoln, NE,-2.77,41,6,2.68,2022-03-12,16:43:22
35,Boston, MA,9.61,95,100,3.58,2022-03-12,16:45:00
36,South Burlington, VT,-0.37,93,100,7.72,2022-03-12,16:48:02
37,Santa Ana, CA,21.98,28,0,1.54,2022-03-12,16:48:03
38,Pembroke Pines, FL,32.23,59,20,10.8,2022-03-12,16:48:03
39,Burlington, VT,2.94,91,100,9.26,2022-03-12,16:43:37
40,Portland, OR,10.72,70,20,2.06,2022-03-12,16:45:15
41,Aurora, CO,10.33,33,20,5.14,2022-03-12,16:43:28
42,Jersey City, NJ,2.19,91,100,11.32,2022-03-12,16:48:04
43,Yonkers, NY,2.26,90,100,8.75,2022-03-12,16:48:04
44,Chandler, AZ,19.08,22,0,0.45,2022-03-12,16:44:51
